rank,score,name,institution,openalex_url,orcid,homepage_url,h_index,cited_by_count,works_count,top_topics,matched_kws,missed_kws,paper1_title,paper1_year,paper1_journal,paper1_doi,paper1_abstract_snippet,paper2_title,paper2_year,paper2_journal,paper2_doi,paper2_abstract_snippet,paper3_title,paper3_year,paper3_journal,paper3_doi,paper3_abstract_snippet
1,4,Claudia P. Ostertag,"University of California, Berkeley",https://openalex.org/A5013824305,https://orcid.org/0000-0002-6182-3073,,33,3496,112,Innovative concrete reinforcement materials; Structural Behavior of Reinforced Concrete; Concrete and Cement Materials Research,finite element; computational fluid dynamics; thermal management; topology optimization,heat transfer; additive manufacturing; tribology; fatigue; composite materials; robotics,Combined CFD and FEM analysis of 3D printed PCM integrated concrete panels for passive thermal management in buildings,2025,Applied Thermal Engineering,https://doi.org/10.1016/j.applthermaleng.2025.127544,• 3D-printed ABS capsules used to embed PCM into concrete wall panels. • CFD-FEM methods combined to simulate PCM heat absorption and melting. • IR-based heating setup mimics 2500 W/m 2 solar flux for thermal testing. • PCM reduced internal wall temperature by 5.06% under solar-like heat. • Simulati,Improving the Ductility of Concrete Beams Reinforced with Topologically Optimized Steel,2025,Journal of Structural Engineering,https://doi.org/10.1061/jsendh.steng-13908,"To address the sustainability challenges faced by concrete structures, various attempts have been made to optimize the reinforcement layout with a topologically optimized strut-and-tie model (STM). However, most studies have focused on theoretical discussions and the few available experimental studi",Sustainable reinforced concrete design: The role of ultra-high performance concrete (UHPC) in life-cycle structural performance and environmental impacts,2024,Engineering Structures,https://doi.org/10.1016/j.engstruct.2024.118585,"Ultra-high performance concrete (UHPC), an advanced type of concrete material that shows superior mechanical and durability performance, brings promises of reducing the material usage and increasing the life span of conventional concrete structures. However, the environmental benefits of adopting UH"
2,2,Yanfei Gao,University of Tennessee at Knoxville,https://openalex.org/A5000921224,https://orcid.org/0000-0003-2082-857X,,58,15008,296,Microstructure and mechanical properties; Metal and Thin Film Mechanics; Metallic Glasses and Amorphous Alloys,finite element; composite materials,heat transfer; computational fluid dynamics; additive manufacturing; tribology; fatigue; robotics; thermal management; topology optimization,"Cryogenic Performance and Modelling of Fibre- and Nano-Reinforced Composites: Failure Mechanisms, Toughening Strategies, and Constituent-Level Behaviour",2026,Journal of Composites Science,https://doi.org/10.3390/jcs10010036,"Composite materials are increasingly required to operate in cryogenic environments, including liquid hydrogen and oxygen storage, deep-space structures, and polar infrastructures, where long-term strength, toughness, and reliability are essential. This review provides a unique contribution by system",Probing the structural evolution and electronic properties of bismuth-doped medium-sized boron clusters,2025,The European Physical Journal Plus,https://doi.org/10.1140/epjp/s13360-025-07034-0,,Achieving superplasticity in a hard-to-deform precipitation strengthened Ni-based alloy by suppressing grain boundary brittleness,2025,Acta Materialia,https://doi.org/10.1016/j.actamat.2025.121760,
3,2,Xianming Shi,Washington State University,https://openalex.org/A5051940729,https://orcid.org/0000-0003-3576-8952,,59,13370,375,Smart Materials for Construction; Concrete and Cement Materials Research; Concrete Corrosion and Durability,additive manufacturing; robotics,finite element; heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; thermal management; topology optimization,Wave-PINN: a wavelet-based physics-informed neural network for continuous pavement roughness evaluation from vehicle dynamics,2026,Mechanical Systems and Signal Processing,https://doi.org/10.1016/j.ymssp.2026.114232,,Leveraging emerging technologies to address the crisis of aging concrete infrastructure,2025,Journal of Infrastructure Preservation and Resilience,https://doi.org/10.1186/s43065-025-00147-x,"Aging concrete infrastructure faces accelerating deterioration from deferred maintenance, environmental exposure, and climate change, creating urgent demand for cost-effective, durable solutions. This Commentary argues that meeting this challenge requires an integrated rehabilitation framework that ",Effects of sequential hydration on restrained shrinkage for cement-stabilized unsaturated soil under cycles of wetting–drying,2025,Journal of Infrastructure Preservation and Resilience,https://doi.org/10.1186/s43065-025-00151-1,"Although cementitious stabilization allows for beneficial use of in-situ marginal materials and industrial byproducts, its broader application is often limited by shrinkage cracking. Instead of one-time hydration (OH), this study proposes an innovative sequential hydration (SH) approach to mitigate "
4,2,Ravi Ranade,"University at Buffalo, State University of New York",https://openalex.org/A5021106896,https://orcid.org/0000-0001-6030-8371,,28,4283,75,Innovative concrete reinforcement materials; Concrete and Cement Materials Research; Structural Behavior of Reinforced Concrete,finite element; fatigue,heat transfer; computational fluid dynamics; additive manufacturing; tribology; composite materials; robotics; thermal management; topology optimization,Experimental study of post-fire bond strength between steel reinforcing bars and concrete using beam-end specimens,2025,Engineering Structures,https://doi.org/10.1016/j.engstruct.2025.120450,,Analysis of damage mechanisms in fiber-reinforced ceramic matrix composites under thermomechanical loading at intermediate and high temperatures,2025,Journal of Composite Materials,https://doi.org/10.1177/00219983251333104,This paper examines the damage and failure behavior of woven ceramic matrix composites (CMCs) under thermomechanical loading. The study focuses on S200H (Hi-Nicalon™ SiC fiber with a boron nitride coating in a SiNC matrix) and S400N (carbon fiber with a pyrolytic carbon coating in a SiNC matrix) CMC,Saltwater flooding-induced corrosion and lateral strength of reinforced concrete structures,2025,,https://doi.org/10.21012/fc12.1343,"Many coastal communities are located in areas of high seismic activity.Saltwater flooding can exacerbate the corrosion of lateral force-resisting systems of structures in these communities, impacting their seismic resilience.Evaluating the compounding risk from flood and seismic hazards in these com"
5,2,Seid Korić,University of Illinois Urbana-Champaign,https://openalex.org/A5032466147,https://orcid.org/0000-0002-7330-6401,,28,3228,141,Model Reduction and Neural Networks; Metallurgical Processes and Thermodynamics; Aluminum Alloy Microstructure Properties,finite element; additive manufacturing,heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Sequential deep operator neural networks for plastic and thermo-viscoplastic transient material behavior,2026,International Journal of Plasticity,https://doi.org/10.1016/j.ijplas.2026.104689,,Sequential neural operator transformer for high-fidelity surrogates of time-dependent non-linear partial differential equations,2026,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2026.114428,"Partial differential equations (PDEs) are fundamental to modeling complex and nonlinear physical phenomena, but their numerical solution often requires significant computational resources, particularly when a large number of forward full solution evaluations are necessary, such as in design, optimiz",Nonlinear inverse design of mechanical multi-material metamaterials enabled by video denoising diffusion and structure identifier,2026,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2026.114368,"Metamaterials, synthetic materials with customized properties, have emerged as a promising field due to advancements in additive manufacturing. These materials derive unique mechanical properties from their internal lattice structures, which are often composed of multiple materials that repeat geome"
6,2,Jung Heum Yeon,Texas State University,https://openalex.org/A5018125006,https://orcid.org/0000-0003-1147-0588,,24,1663,66,Innovative concrete reinforcement materials; Concrete and Cement Materials Research; Concrete Properties and Behavior,finite element; additive manufacturing,heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,"Influence of Coated Steel Fibers on Mechanical Properties of UHPC Considering Graphene Oxide, Nano-Aluminum Oxide, and Nano-Calcium Carbonate",2025,Fibers,https://doi.org/10.3390/fib13040037,"The addition of high volume fractions of fibers in ultra-high-performance concrete (UHPC) presents specific durability-based challenges due to the high content of interfacial transition zones (ITZ) between the fibers and surrounding mortar, along with the production cost. Hence, this study explored ",Development of an Electrically Heated Sidewalk System for Enhanced Winter Pedestrian Safety,2025,Buildings,https://doi.org/10.3390/buildings15040533,"This study aims to develop an electrically heated sidewalk system to efficiently clear ice and snow from pedestrian walkways, ensuring safety and minimizing environmental impact during winter. While extensive research has been conducted on heated pavement and slab systems for vehicles and aircraft, ",Torsional Performance of Vat-Photopolymerized Tough Resin: Influence of Gauge Length and UV Post-Curing,2025,Experimental Mechanics,https://doi.org/10.1007/s11340-024-01135-0,"Abstract Background A myriad of materials, ranging from soft sensors to bone substitutes, undergo torsional loading throughout their operational lifespan. Many of these materials are produced using additive manufacturing (AM) technology due to its broad applicability. Understanding the torsional beh"
7,2,Marie‐Agathe Charpagne,University of Illinois Urbana-Champaign,https://openalex.org/A5055530140,https://orcid.org/0000-0003-4323-6577,,23,1606,63,High Temperature Alloys and Creep; Microstructure and Mechanical Properties of Steels; Metallurgy and Material Forming,additive manufacturing; fatigue,finite element; heat transfer; computational fluid dynamics; tribology; composite materials; robotics; thermal management; topology optimization,Accelerated fatigue strength prediction via additive manufactured functionally graded materials and high-throughput plasticity quantification,2025,Materials & Design,https://doi.org/10.1016/j.matdes.2025.114115,"Recent improvements in additive manufacturing and high-throughput material synthesis have enabled the discovery of novel metallic materials for extreme environments. However, high-fidelity testing of advanced mechanical properties such as fatigue strength, has often been the most time-consuming and ",Synergistically enhanced cryogenic strength and ductility in 304L stainless steel made by directed energy deposition additive manufacturing,2025,Materials & Design,https://doi.org/10.1016/j.matdes.2025.113906,"We leverage the rapid cooling rates and thermal cycling inherent to laser directed energy deposition (DED) additive manufacturing (AM), to synthesize 304L stainless steel with bimodal grain size distribution and intragranular cellular dislocation structures. We find that regardless of the printing s",Subsurface microstructure effects on surface resolved slip activity,2025,Journal of the Mechanics and Physics of Solids,https://doi.org/10.1016/j.jmps.2024.106023,
8,2,S. Kiana Naghibzadeh,Carnegie Mellon University,https://openalex.org/A5041217580,https://orcid.org/0000-0001-5629-9396,,8,177,13,Microstructure and mechanical properties; Microstructure and Mechanical Properties of Steels; Metallurgy and Material Forming,finite element; additive manufacturing,heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Challenging common notions on how eggs break and the role of strength versus toughness,2025,Communications Physics,https://doi.org/10.1038/s42005-025-02087-0,"One experiment commonly used to teach young students about the response of structures to dynamic loading is the “egg drop challenge”, in which students design a device to protect an egg from cracking after a fall from a specified height. Relevant to this activity is the choice of orientation of the ",Grain boundary properties and microstructure evolution in an Al-Cu alloy,2025,Acta Materialia,https://doi.org/10.1016/j.actamat.2025.121041,"Grain boundary (GB) properties in an Al-5 wt % Cu alloy have been extracted from diffraction contrast tomography images after 10 sequential annealing steps for 15 min at 630°C. At the annealing temperature, a copper-rich liquid was present at the GBs. The growth and shrinkage of the grains are stron",Accretion and ablation in deformable solids using an Eulerian formulation: A finite deformation numerical method,2025,Journal of the Mechanics and Physics of Solids,https://doi.org/10.1016/j.jmps.2025.106076,"Surface growth, i.e., the addition or removal of mass from the boundary of a solid body, occurs in a wide range of processes, including the growth of biological tissues, solidification and melting, and additive manufacturing. To understand nonlinear phenomena such as failure and morphological instab"
9,1,Tresa M. Pollock,"University of California, Santa Barbara",https://openalex.org/A5032474098,https://orcid.org/0000-0001-9948-1083,,85,32180,609,High Temperature Alloys and Creep; Intermetallics and Advanced Alloy Properties; High-Temperature Coating Behaviors,fatigue,finite element; heat transfer; computational fluid dynamics; additive manufacturing; tribology; composite materials; robotics; thermal management; topology optimization,A Correlative Microscopy Dataset for Multimodal Data Fusion and Image Matching in Materials Science,2026,ChemRxiv,https://doi.org/10.26434/chemrxiv.15001724/v1,,Mining Multimodal Fatigue Data Using Reasoning Foundation Models and Formalized Domain Knowledge,2026,Integrating materials and manufacturing innovation,https://doi.org/10.1007/s40192-026-00442-9,Abstract The scarcity and expense of fatigue data limits optimal design of components and constrains companies to a few well-qualified materials when safety-critical applications are concerned. This research investigates different strategies to improve extraction of structured information from unstr,pyTriBeam: Open-Source Software for Enhanced 3D Data Collection in TriBeam Microscopes,2026,Integrating materials and manufacturing innovation,https://doi.org/10.1007/s40192-026-00449-2,"An open-source data collection platform for TriBeam microscopes that simplifies the process of building a collection experiment, metadata logging, and automated serial sectioning is presented. Microscope conventions and sample geometries for successful experiments are described, as well as a graphic"
10,1,Alan A. Luo,The Ohio State University,https://openalex.org/A5004871584,https://orcid.org/0000-0002-4356-0468,,60,15881,387,Aluminum Alloys Composites Properties; Magnesium Alloys: Properties and Applications; Aluminum Alloy Microstructure Properties,additive manufacturing,finite element; heat transfer; computational fluid dynamics; tribology; fatigue; composite materials; robotics; thermal management; topology optimization,Modeling and validation of microstructure and porosity formation in Al-10Si alloy laser powder bed fusion additive manufacturing process,2026,Additive manufacturing,https://doi.org/10.1016/j.addma.2026.105172,"Laser powder bed fusion (LPBF) additive manufacturing (AM) process has been used in production of metal components in industries such as aerospace, automotive, and defense. However, challenges including porosity formation and microstructure inconsistency can compromise part performance and reliabili",Cerium Oxide Coating on Nickel-Rich Oxide Cathodes to Mitigate Lithium-Ion Battery Thermal Runaway,2026,ACS Applied Energy Materials,https://doi.org/10.1021/acsaem.5c03706,"Nickel-rich layered oxide cathodes are promising for next-generation lithium-ion batteries due to their high energy density and lower cost compared to the lithium cobalt oxide (LCO) cathode. However, their practical application is often limited by their thermal instability at high nickel content, wh",Removal of copper from steel scrap using sulfide salts treatment,2026,,https://doi.org/10.26226/m.697798c3695071f0a9def644,
